"Data.in.Byte" , "Gap.in.Byte" , "Datasieving.1.on" , "Buffer.in.MByte" , "fill_level"     , "mean_value"      
20480          , 61440         , 1                  , 100               , 25               , 24.216251         
20480          , 81920         , 0                  , 4                 , 20               , 6.1339394         
20480          , 81920         , 1                  , 4                 , 20               , 15.0993048        
20480          , 81920         , 1                  , 100               , 20               , 15.0993048        
20480          , 102400        , 0                  , 4                 , 16.6666666666667 , 7.8099116         
20480          , 102400        , 1                  , 1                 , 16.6666666666667 , 12.2211996        
20480          , 102400        , 1                  , 4                 , 16.6666666666667 , 13.0115436        
20480          , 102400        , 1                  , 100               , 16.6666666666667 , 13.0115436        
20480          , 122880        , 0                  , 4                 , 14.2857142857143 , 6.148662          
20480          , 122880        , 1                  , 1                 , 14.2857142857143 , 10.6687074        
20480          , 122880        , 1                  , 4                 , 14.2857142857143 , 11.0832974        
20480          , 122880        , 1                  , 100               , 14.2857142857143 , 11.0832974        
20480          , 143360        , 0                  , 4                 , 12.5             , 7.3307222         
20480          , 143360        , 1                  , 1                 , 12.5             , 10.4619062        
20480          , 143360        , 1                  , 4                 , 12.5             , 10.9581044        
20480          , 143360        , 1                  , 100               , 12.5             , 10.9581044        
20480          , 163840        , 0                  , 4                 , 11.1111111111111 , 6.0752376         
20480          , 163840        , 1                  , 1                 , 11.1111111111111 , 6.7704172         
20480          , 163840        , 1                  , 4                 , 11.1111111111111 , 7.9514052         
20480          , 163840        , 1                  , 100               , 11.1111111111111 , 7.9514052         
20480          , 184320        , 0                  , 4                 , 10               , 7.8985216         
20480          , 184320        , 1                  , 1                 , 10               , 7.2226728         
20480          , 184320        , 1                  , 4                 , 10               , 8.0110786         
20480          , 184320        , 1                  , 100               , 10               , 8.0110786         
20480          , 204800        , 0                  , 4                 , 9.09090909090909 , 6.0095186         
20480          , 204800        , 1                  , 1                 , 9.09090909090909 , 8.8176024         
20480          , 204800        , 1                  , 4                 , 9.09090909090909 , 9.4951856         
20480          , 204800        , 1                  , 100               , 9.09090909090909 , 9.4951856         
20480          , 225280        , 0                  , 4                 , 8.33333333333333 , 6.6378004         
20480          , 225280        , 1                  , 1                 , 8.33333333333333 , 8.1743544         
20480          , 225280        , 1                  , 4                 , 8.33333333333333 , 8.7153034         
20480          , 225280        , 1                  , 100               , 8.33333333333333 , 8.7153034         
32768          , 0             , 0                  , 4                 , 100              , 97.954264         
32768          , 0             , 1                  , 1                 , 100              , 99.1459574        
32768          , 0             , 1                  , 4                 , 100              , 98.707744         
32768          , 0             , 1                  , 100               , 100              , 98.707744         
32768          , 512           , 0                  , 4                 , 98.4615384615385 , 44.7315676        
32768          , 512           , 1                  , 1                 , 98.4615384615385 , 94.2696634        
32768          , 512           , 1                  , 4                 , 98.4615384615385 , 95.0846928        
32768          , 512           , 1                  , 100               , 98.4615384615385 , 95.0846928        
32768          , 1024          , 0                  , 4                 , 96.969696969697  , 45.234248         
