#Data.in.Byte;Gap.in.Byte;Datasieving.1.on;Buffer.in.MByte;Performance.in.MByte/s;Prediction.in.MByte/s
#Data;Gap;Datasieving;Buffer;Performance
#Byte;Byte;on/off;MByte;MByte/s
32768;196608;1;1;14.918083
32768;196608;1;1;14.620095
32768;229376;1;1;11.988809
32768;229376;1;1;12.248855
32768;229376;1;1;12.103658
32768;229376;1;1;11.809001
32768;229376;1;1;12.044711
32768;262144;1;1;8.173579
32768;262144;1;1;8.93949
32768;262144;1;1;8.880179
32768;262144;1;1;9.154827
32768;262144;1;1;8.787598
32768;294912;1;1;10.53266
32768;294912;1;1;10.246822
32768;294912;1;1;10.771297
32768;294912;1;1;9.967032
32768;294912;1;1;10.46778
32768;327680;1;1;10.736452
32768;327680;1;1;10.267614
32768;327680;1;1;10.008008
32768;327680;1;1;9.993345
32768;327680;1;1;9.782421
32768;360448;1;1;9.502112
32768;360448;1;1;9.544585
32768;360448;1;1;8.975131
32768;360448;1;1;9.359113
32768;360448;1;1;9.318471
32768;0;0;1;97.092707
32768;0;0;1;98.37583
32768;0;0;1;99.723776
32768;0;0;1;97.085292
32768;0;0;1;97.865851
32768;512;0;1;44.572308
32768;512;0;1;44.559247
32768;512;0;1;44.821539
32768;512;0;1;44.982147
32768;512;0;1;44.820528
32768;1024;0;1;45.334878
32768;1024;0;1;45.27359
32768;1024;0;1;45.361152
32768;1024;0;1;45.550448
32768;1024;0;1;45.128629
32768;2048;0;1;45.980808
32768;2048;0;1;45.999992
32768;2048;0;1;46.357677
32768;2048;0;1;46.026648
32768;2048;0;1;46.101365
32768;4096;0;1;47.909204
32768;4096;0;1;47.520955
32768;4096;0;1;47.184043
32768;4096;0;1;47.867645
32768;4096;0;1;47.394163
32768;8192;0;1;50.660948
32768;8192;0;1;50.395917
32768;8192;0;1;50.939065
32768;8192;0;1;50.160662
32768;8192;0;1;50.823175
32768;16384;0;1;52.328371
32768;16384;0;1;52.886968
32768;16384;0;1;52.737934
32768;16384;0;1;53.842663
32768;16384;0;1;53.432682
32768;32768;0;1;49.708254
32768;32768;0;1;48.617515
32768;32768;0;1;49.133253
32768;32768;0;1;49.171632
32768;32768;0;1;49.533056
32768;65536;0;1;12.652078
32768;65536;0;1;12.540043
32768;65536;0;1;12.485903
32768;65536;0;1;12.429423
32768;65536;0;1;11.9682
32768;98304;0;1;12.539156
32768;98304;0;1;12.480346
32768;98304;0;1;12.19397
32768;98304;0;1;12.550986
32768;98304;0;1;13.033571
32768;131072;0;1;12.108455
32768;131072;0;1;12.028189
32768;131072;0;1;12.442037
32768;131072;0;1;12.118564
32768;131072;0;1;11.789567
32768;163840;0;1;13.296427
32768;163840;0;1;12.84485
32768;163840;0;1;12.949327
32768;163840;0;1;12.529222
32768;163840;0;1;12.633881
32768;196608;0;1;13.106398
32768;196608;0;1;12.909569
32768;196608;0;1;13.148693
32768;196608;0;1;12.747166
32768;196608;0;1;12.57932
32768;229376;0;1;14.473212
32768;229376;0;1;13.184793
32768;229376;0;1;13.635131
32768;229376;0;1;14.498205
32768;229376;0;1;13.232085
32768;262144;0;1;11.557603
32768;262144;0;1;11.569869
32768;262144;0;1;11.78609
32768;262144;0;1;11.341196
32768;262144;0;1;11.405218
32768;294912;0;1;11.775689
32768;294912;0;1;10.744725
32768;294912;0;1;10.81631
32768;294912;0;1;11.163355
32768;294912;0;1;10.737851
32768;327680;0;1;13.146519
32768;327680;0;1;13.047858
32768;327680;0;1;12.380687
32768;327680;0;1;12.127959
32768;327680;0;1;12.204184
32768;360448;0;1;12.002938
32768;360448;0;1;12.459279
32768;360448;0;1;12.859677
32768;360448;0;1;12.788603
32768;360448;0;1;12.791662
131072;0;1;1;94.943622
131072;0;1;1;97.006986
131072;0;1;1;96.895802
131072;0;1;1;98.234347
131072;0;1;1;96.490029
131072;2048;1;1;94.359399
131072;2048;1;1;94.464192
131072;2048;1;1;92.888511
131072;2048;1;1;96.86631
131072;2048;1;1;96.578673
131072;4096;1;1;90.780118
131072;4096;1;1;93.642914
131072;4096;1;1;93.621284
131072;4096;1;1;94.149231
131072;4096;1;1;95.25053
131072;8192;1;1;91.529703
131072;8192;1;1;91.506612
131072;8192;1;1;90.158463
131072;8192;1;1;90.315614
131072;8192;1;1;90.089098
131072;16384;1;1;86.034328
131072;16384;1;1;88.323501
131072;16384;1;1;86.873717
131072;16384;1;1;83.97325
131072;16384;1;1;85.869189
131072;32768;1;1;77.512227
131072;32768;1;1;76.279441
131072;32768;1;1;75.91951
131072;32768;1;1;75.715622
131072;32768;1;1;75.113964
131072;65536;1;1;26.153392
131072;65536;1;1;55.803196
131072;65536;1;1;54.62228
131072;65536;1;1;54.904727
131072;65536;1;1;52.758578
131072;131072;1;1;47.080057
131072;131072;1;1;52.065369
131072;131072;1;1;51.070374
131072;131072;1;1;50.725347
131072;131072;1;1;52.198801
131072;262144;1;1;19.004762
131072;262144;1;1;17.230305
131072;262144;1;1;17.883776
131072;262144;1;1;16.683017
131072;262144;1;1;17.150183
131072;393216;1;1;29.147323
131072;393216;1;1;29.335842
131072;393216;1;1;29.165395
131072;393216;1;1;28.532483
131072;393216;1;1;27.412043
131072;524288;1;1;19.549551
131072;524288;1;1;19.669797
131072;524288;1;1;19.728209
131072;524288;1;1;18.532809
131072;524288;1;1;19.044642
131072;655360;1;1;13.668006
131072;655360;1;1;14.709764
131072;655360;1;1;13.8725
131072;655360;1;1;12.709229
131072;655360;1;1;15.2275
131072;786432;1;1;10.992215
131072;786432;1;1;10.796359
131072;786432;1;1;10.682728
131072;786432;1;1;10.307441
131072;786432;1;1;9.986857
131072;917504;1;1;18.278286
131072;917504;1;1;18.982377
131072;917504;1;1;17.221624
131072;917504;1;1;18.515246
131072;917504;1;1;17.239386
131072;1048576;1;1;12.748208
131072;1048576;1;1;12.315714
131072;1048576;1;1;12.873104
131072;1048576;1;1;12.923635
131072;1048576;1;1;12.989929
131072;1179648;1;1;11.84909
131072;1179648;1;1;11.347987
131072;1179648;1;1;11.761955
131072;1179648;1;1;12.029003
131072;1179648;1;1;12.249501
131072;1310720;1;1;11.158002
131072;1310720;1;1;11.071816
131072;1310720;1;1;11.742633
131072;1310720;1;1;11.997795
131072;1310720;1;1;11.34401
131072;1441792;1;1;11.201007
131072;1441792;1;1;10.727012
131072;1441792;1;1;10.827431
131072;1441792;1;1;12.265657
131072;1441792;1;1;11.554604
131072;0;0;1;95.744862
131072;0;0;1;94.946729
131072;0;0;1;95.6858
131072;0;0;1;99.947239
131072;0;0;1;97.641861
131072;2048;0;1;97.135406
131072;2048;0;1;97.089471
131072;2048;0;1;96.077529
131072;2048;0;1;92.470249
131072;2048;0;1;97.24123
131072;4096;0;1;94.697781
131072;4096;0;1;95.265017
131072;4096;0;1;93.441846
131072;4096;0;1;96.18825
131072;4096;0;1;94.377296
131072;8192;0;1;92.287812
131072;8192;0;1;88.500009
131072;8192;0;1;89.990813
131072;8192;0;1;92.632548
131072;8192;0;1;91.338457
131072;16384;0;1;86.050987
131072;16384;0;1;87.868125
131072;16384;0;1;83.995178
131072;16384;0;1;88.280362
131072;16384;0;1;87.099874
131072;32768;0;1;77.812353
131072;32768;0;1;79.620535
131072;32768;0;1;80.522384
131072;32768;0;1;78.913812
131072;32768;0;1;78.238748
131072;65536;0;1;39.953853
131072;65536;0;1;39.764899
131072;65536;0;1;40.530494
131072;65536;0;1;39.406507
131072;65536;0;1;39.831618
131072;131072;0;1;42.353468
131072;131072;0;1;43.742154
131072;131072;0;1;42.659167
131072;131072;0;1;42.374832
131072;131072;0;1;42.047095
131072;262144;0;1;24.824369
131072;262144;0;1;24.930636
131072;262144;0;1;25.140267
131072;262144;0;1;25.152515
131072;262144;0;1;23.674314
131072;393216;0;1;49.842787
131072;393216;0;1;52.279829
131072;393216;0;1;51.718966
131072;393216;0;1;49.977834
131072;393216;0;1;48.391017
131072;524288;0;1;43.75808
131072;524288;0;1;43.522591
131072;524288;0;1;41.306169
131072;524288;0;1;39.480936
131072;524288;0;1;39.397565
131072;655360;0;1;43.185354
131072;655360;0;1;42.541486
131072;655360;0;1;39.81279
131072;655360;0;1;36.792538
131072;655360;0;1;39.265404
131072;786432;0;1;39.953142
131072;786432;0;1;39.935276
131072;786432;0;1;43.097999
131072;786432;0;1;40.831045
131072;786432;0;1;40.259537
131072;917504;0;1;65.008494
131072;917504;0;1;70.009289
131072;917504;0;1;61.540444
131072;917504;0;1;56.657591
131072;917504;0;1;51.454229
131072;1048576;0;1;36.991355
131072;1048576;0;1;38.188356
131072;1048576;0;1;38.701492
131072;1048576;0;1;35.31688
131072;1048576;0;1;37.108912
131072;1179648;0;1;44.212317
131072;1179648;0;1;40.743593
131072;1179648;0;1;38.413381
131072;1179648;0;1;42.037873
131072;1179648;0;1;41.955997
131072;1310720;0;1;39.751263
131072;1310720;0;1;37.509693
131072;1310720;0;1;34.199156
131072;1310720;0;1;31.65837
131072;1310720;0;1;31.900065
131072;1441792;0;1;31.106359
131072;1441792;0;1;31.151178
131072;1441792;0;1;29.785692
131072;1441792;0;1;31.16021
131072;1441792;0;1;31.111874
204800;0;1;1;97.561427
204800;0;1;1;96.855574
204800;0;1;1;94.020813
204800;0;1;1;94.81363
204800;0;1;1;97.505111
204800;3200;1;1;96.657143
204800;3200;1;1;93.73623
204800;3200;1;1;95.823031
204800;3200;1;1;97.552661
204800;3200;1;1;96.127537
204800;6400;1;1;92.554642
204800;6400;1;1;95.598102
204800;6400;1;1;96.151093
204800;6400;1;1;93.921639
204800;6400;1;1;94.72546
204800;12800;1;1;93.091176
204800;12800;1;1;91.249811
204800;12800;1;1;93.258679
204800;12800;1;1;90.259612
204800;12800;1;1;90.45757
204800;25600;1;1;85.808846
204800;25600;1;1;86.543096
204800;25600;1;1;86.413809
204800;25600;1;1;87.116999
204800;25600;1;1;84.808709
204800;51200;1;1;76.868752
204800;51200;1;1;79.294948
